           Gene_0    Gene_1    Gene_2    Gene_3    Gene_4    Gene_5    Gene_6  \
          Gene_35   Gene_36   Gene_37   Gene_38   Gene_39   Gene_40   Gene_41  \
Cell_0   0.000000  1.386294  0.693147  0.000000  0.000000  0.693147  0.000000   
Cell_1   1.098612  1.098612  1.098612  1.098612  0.693147  0.000000  1.098612   
Cell_2   0.693147  0.693147  1.098612  1.386294  1.098612  0.693147  0.693147   
Cell_3   0.000000  0.000000  0.000000  0.693147  0.000000  1.098612  0.000000   
Cell_4   0.000000  0.000000  0.000000  1.386294  0.000000  1.386294  0.693147   
...           ...       ...       ...       ...       ...       ...       ...   
Cell_95  1.098612  1.098612  1.098612  0.000000  0.693147  0.693147  0.693147   
Cell_96  1.098612  1.098612  0.693147  0.000000  0.693147  0.693147  0.693147   
Cell_97  0.000000  1.098612  0.693147  0.000000  1.098612  0.693147  1.386294   
Cell_98  0.000000  1.609438  0.000000  1.098612  0.693147  0.693147  1.098612   
Cell_99  0.693147  1.791759  0.000000  0.000000  0.000000  0.693147  0.693147   

          Gene_42   Gene_43   Gene_44   Gene_45   Gene_46   Gene_47   Gene_48  \
Cell_0   0.000000  1.098612  0.693147  1.386294  0.000000  0.000000  0.693147   
Cell_1   0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  1.098612   
Cell_2   0.693147  0.000000  1.386294  0.693147  0.693147  0.693147  0.000000   
Cell_3   0.000000  0.000000  1.098612  1.098612  1.098612  0.693147  0.000000   
Cell_4   0.693147  0.000000  0.693147  0.693147  0.693147  1.098612  1.098612   
...           ...       ...       ...       ...       ...       ...       ...   
Cell_95  0.000000  0.000000  0.693147  0.000000  0.693147  1.098612  1.098612   
Cell_96  0.693147  0.693147  0.693147  1.098612  0.693147  1.098612  1.098612   
Cell_97  1.098612  0.000000  0.693147  0.693147  0.693147  0.693147  0.693147   
Cell_98  0.693147  1.098612  0.693147  1.098612  1.098612  0.693147  0.693147   
Cell_99  1.098612  0.000000  0.693147  0.693147  0.000000  0.000000  0.693147   

          Gene_49   Gene_50   Gene_51   Gene_52   Gene_53   Gene_54   Gene_55  \
Cell_0   0.000000  0.000000  0.000000  0.000000  0.693147  0.000000  0.693147   
Cell_1   0.000000  0.000000  1.098612  0.693147  0.693147  0.000000  0.000000   
Cell_2   0.693147  0.693147  1.098612  0.693147  0.000000  0.693147  1.386294   
Cell_3   0.693147  0.000000  0.693147  0.000000  0.000000  1.098612  1.098612   
Cell_4   0.000000  0.693147  0.693147  0.693147  0.693147  0.693147  0.693147   
...           ...       ...       ...       ...       ...       ...       ...   
Cell_95  0.000000  0.000000  0.693147  0.000000  1.098612  0.693147  0.693147   
Cell_96  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000   
Cell_97  0.000000  0.000000  1.098612  0.693147  1.386294  0.000000  1.098612   
Cell_98  0.693147  0.693147  0.000000  0.000000  0.000000  0.693147  0.000000   
Cell_99  0.000000  0.693147  0.000000  1.386294  1.098612  0.000000  0.000000   

          Gene_56   Gene_57   Gene_58   Gene_59   Gene_60   Gene_61   Gene_62  \
Cell_0   0.000000  0.693147  1.386294  0.000000  0.000000  0.000000  0.000000   
Cell_1   0.000000  0.000000  1.098612  0.693147  0.000000  1.609438  1.098612   
Cell_2   0.000000  0.000000  0.000000  0.693147  0.000000  0.693147  1.098612   
Cell_3   1.098612  1.098612  0.000000  0.693147  1.386294  0.693147  0.693147   
Cell_4   0.693147  0.000000  0.693147  0.693147  1.098612  0.000000  0.000000   
...           ...       ...       ...       ...       ...       ...       ...   
Cell_95  0.000000  0.000000  0.693147  1.098612  0.693147  0.000000  0.000000   
Cell_96  0.000000  0.000000  1.386294  1.098612  0.693147  1.098612  0.000000   
Cell_97  1.098612  0.693147  0.000000  0.693147  0.693147  0.693147  1.098612   
Cell_98  0.693147  0.000000  0.000000  1.098612  0.000000  1.098612  0.693147   
Cell_99  1.098612  0.693147  1.098612  0.693147  1.386294  0.000000  1.098612   

          Gene_63   Gene_64   Gene_65   Gene_66   Gene_67   Gene_68   Gene_69  \
Cell_0   0.693147  0.693147  1.609438  0.000000  0.693147  0.693147  0.000000   
Cell_1   1.098612  1.386294  0.693147  0.000000  1.098612  0.000000  0.000000   
Cell_2   0.693147  0.693147  0.693147  1.386294  0.693147  0.693147  0.000000   
Cell_3   0.000000  0.000000  1.386294  0.000000  0.693147  0.000000  1.098612   
Cell_4   0.693147  1.098612  0.693147  0.693147  0.693147  1.098612  0.693147   
...           ...       ...       ...       ...       ...       ...       ...   
Cell_95  0.000000  1.386294  0.000000  0.000000  0.693147  0.000000  0.000000   
Cell_96  0.693147  0.693147  0.693147  1.386294  0.693147  0.000000  0.000000   
Cell_97  0.693147  1.098612  1.386294  0.000000  0.693147  0.693147  1.098612   
Cell_98  0.000000  0.000000  1.098612  0.000000  0.000000  0.693147  0.000000   
Cell_99  1.386294  0.000000  1.098612  1.386294  0.693147  0.000000  0.000000   

          Gene_70   Gene_71   Gene_72   Gene_73   Gene_74   Gene_75   Gene_76  \
Cell_0   0.000000  1.098612  1.098612  0.693147  1.098612  0.000000  0.693147   
Cell_1   1.098612  1.098612  0.000000  0.693147  0.693147  1.386294  0.000000   
Cell_2   1.609438  0.693147  0.000000  0.000000  1.098612  0.693147  0.693147   
Cell_3   0.000000  0.693147  0.000000  1.098612  0.693147  0.693147  0.000000   
Cell_4   1.098612  1.098612  1.098612  0.000000  1.098612  0.000000  1.098612   
...           ...       ...       ...       ...       ...       ...       ...   
Cell_95  0.693147  0.693147  0.693147  0.693147  0.000000  0.693147  0.693147   
Cell_96  0.693147  0.000000  0.693147  0.000000  0.000000  1.098612  1.098612   
Cell_97  0.693147  1.098612  0.000000  0.693147  0.000000  0.693147  1.098612   
Cell_98  0.000000  1.098612  0.000000  0.000000  0.000000  0.000000  0.000000   
Cell_99  1.098612  0.693147  1.098612  0.000000  0.000000  0.000000  0.693147   

          Gene_77   Gene_78   Gene_79   Gene_80   Gene_81   Gene_82   Gene_83  \
Cell_0   0.000000  1.098612  0.000000  0.000000  0.693147  1.098612  0.000000   
Cell_1   0.693147  0.000000  0.693147  0.000000  0.000000  1.386294  0.693147   
Cell_2   0.693147  0.693147  1.098612  0.000000  0.693147  1.098612  0.000000   
Cell_3   0.000000  0.000000  1.098612  1.386294  0.693147  0.000000  0.693147   
Cell_4   0.000000  0.693147  0.693147  1.098612  0.693147  0.000000  0.000000   
...           ...       ...       ...       ...       ...       ...       ...   
Cell_95  0.693147  1.098612  1.386294  1.609438  0.693147  1.098612  1.098612   
Cell_96  0.000000  0.693147  0.000000  0.000000  0.000000  0.000000  1.098612   
Cell_97  0.000000  0.000000  0.000000  1.098612  0.000000  0.693147  0.000000   
Cell_98  0.000000  1.609438  0.693147  0.693147  1.098612  0.693147  0.693147   
Cell_99  1.098612  0.693147  0.000000  0.000000  0.693147  0.000000  0.693147   

          Gene_84   Gene_85   Gene_86   Gene_87   Gene_88   Gene_89   Gene_90  \
Cell_0   0.693147  1.098612  1.098612  0.693147  0.693147  0.693147  0.693147   
Cell_1   0.693147  0.000000  0.693147  0.693147  0.693147  0.000000  0.693147   
Cell_2   0.000000  0.000000  0.693147  0.693147  1.098612  1.609438  0.000000   
Cell_3   1.386294  1.386294  0.693147  0.000000  0.000000  0.000000  0.693147   
Cell_4   0.693147  0.000000  1.098612  0.000000  0.693147  1.098612  0.000000   
...           ...       ...       ...       ...       ...       ...       ...   
Cell_95  0.693147  0.693147  0.693147  0.693147  0.693147  0.000000  0.693147   
Cell_96  0.000000  0.693147  0.000000  0.000000  0.693147  0.693147  0.000000   
Cell_97  0.000000  0.693147  0.000000  0.000000  1.098612  1.098612  0.000000   
Cell_98  0.000000  0.000000  0.000000  1.386294  0.693147  1.098612  0.693147   
Cell_99  1.098612  1.098612  0.000000  0.693147  0.000000  0.000000  0.000000   

          Gene_91   Gene_92   Gene_93   Gene_94   Gene_95   Gene_96   Gene_97  \
Cell_0   1.098612  1.098612  0.000000  1.386294  0.000000  0.693147  0.000000   
Cell_1   0.693147  0.000000  1.098612  1.386294  0.000000  0.693147  0.000000   
Cell_2   0.693147  0.000000  0.693147  0.693147  0.000000  0.693147  0.000000   
Cell_3   0.000000  1.098612  0.693147  0.000000  0.693147  0.000000  1.098612   
Cell_4   0.000000  0.000000  0.000000  0.000000  0.693147  1.098612  0.693147   
...           ...       ...       ...       ...       ...       ...       ...   
Cell_95  0.000000  0.693147  0.000000  1.386294  0.000000  0.693147  1.098612   
Cell_96  1.098612  0.000000  0.693147  1.098612  0.693147  0.000000  0.693147   
Cell_97  1.098612  0.693147  0.000000  0.693147  1.098612  0.000000  0.693147   
Cell_98  1.098612  0.693147  0.693147  0.000000  0.693147  0.000000  0.693147   
Cell_99  0.000000  0.693147  0.693147  1.098612  0.000000  0.000000  0.000000   

          Gene_98   Gene_99  ...  Gene_1900  Gene_1901  Gene_1902  Gene_1903  \
Cell_0   0.000000  0.693147  ...   0.693147   1.098612   0.693147   0.693147   
Cell_1   1.098612  1.098612  ...   0.693147   0.693147   1.098612   1.098612   
Cell_2   0.000000  0.000000  ...   1.098612   1.098612   0.693147   0.000000   
Cell_3   0.693147  0.000000  ...   1.098612   0.000000   0.000000   0.000000   
Cell_4   0.000000  0.000000  ...   0.000000   0.693147   0.693147   1.098612   
...           ...       ...  ...        ...        ...        ...        ...   
Cell_95  0.693147  0.693147  ...   0.000000   1.386294   1.098612   1.609438   
Cell_96  0.000000  0.000000  ...   0.000000   0.693147   0.693147   1.098612   
Cell_97  0.000000  0.000000  ...   0.000000   0.000000   0.693147   0.693147   
Cell_98  0.693147  0.693147  ...   1.098612   0.693147   1.098612   0.693147   
Cell_99  0.000000  1.098612  ...   1.098612   1.098612   1.386294   0.000000   

         Gene_1904  Gene_1905  Gene_1906  Gene_1907  Gene_1908  Gene_1909  \
Cell_0    0.000000   0.693147   0.693147   0.693147   0.693147   0.000000   
Cell_1    0.000000   0.693147   0.693147   0.693147   0.000000   0.693147   
Cell_2    0.693147   0.693147   0.000000   0.693147   1.098612   1.386294   
Cell_3    0.000000   0.693147   0.000000   0.693147   1.098612   1.386294   
Cell_4    0.693147   0.693147   0.000000   0.693147   0.693147   0.000000   
...            ...        ...        ...        ...        ...        ...   
Cell_95   0.693147   1.098612   1.386294   1.386294   0.693147   0.000000   
Cell_96   0.000000   1.098612   0.000000   1.386294   0.693147   1.098612   
Cell_97   0.693147   0.000000   1.098612   0.693147   0.693147   0.000000   
Cell_98   1.386294   1.098612   0.000000   0.000000   1.098612   0.693147   
Cell_99   0.000000   0.000000   0.693147   1.386294   0.693147   0.000000   

         Gene_1910  Gene_1911  Gene_1912  Gene_1913  Gene_1914  Gene_1915  \
Cell_0    1.098612   0.000000   1.098612   0.000000   1.098612   1.386294   
Cell_1    1.386294   0.000000   0.000000   1.098612   0.000000   0.693147   
Cell_2    0.693147   0.000000   0.693147   0.693147   0.000000   0.000000   
Cell_3    1.098612   1.386294   1.098612   0.000000   0.693147   0.000000   
Cell_4    1.098612   0.000000   1.098612   0.693147   1.386294   0.000000   
...            ...        ...        ...        ...        ...        ...   
Cell_95   0.000000   1.386294   0.000000   0.693147   0.693147   1.098612   
Cell_96   1.098612   0.693147   0.000000   1.098612   0.693147   1.098612   
Cell_97   0.693147   1.098612   0.693147   0.693147   0.693147   0.000000   
Cell_98   0.000000   0.000000   0.000000   1.609438   0.693147   0.693147   
Cell_99   0.000000   1.098612   0.000000   1.098612   1.098612   0.693147   

         Gene_1916  Gene_1917  Gene_1918  Gene_1919  Gene_1920  Gene_1921  \
Cell_0    0.693147   0.000000   0.693147   1.098612   0.000000   0.000000   
Cell_1    1.609438   1.098612   0.000000   0.693147   0.000000   0.000000   
Cell_2    1.098612   0.000000   0.693147   1.098612   0.693147   1.098612   
Cell_3    0.000000   1.098612   0.693147   0.693147   0.693147   1.386294   
Cell_4    0.693147   0.000000   0.000000   0.000000   1.609438   0.693147   
...            ...        ...        ...        ...        ...        ...   
Cell_95   0.693147   1.098612   0.693147   1.098612   0.000000   0.000000   
Cell_96   0.693147   1.609438   0.693147   0.000000   0.693147   0.693147   
Cell_97   0.000000   0.693147   0.000000   0.000000   0.693147   0.000000   
Cell_98   0.000000   0.693147   0.000000   1.098612   1.098612   0.000000   
Cell_99   0.000000   0.000000   0.693147   1.791759   1.098612   0.693147   

         Gene_1922  Gene_1923  Gene_1924  Gene_1925  Gene_1926  Gene_1927  \
Cell_0    1.098612   0.000000   0.000000   0.693147   0.693147   0.693147   
Cell_1    1.098612   0.693147   0.000000   0.000000   1.098612   0.000000   
Cell_2    0.693147   0.000000   0.693147   1.098612   0.000000   0.000000   
Cell_3    0.693147   0.000000   0.693147   1.386294   1.098612   0.000000   
Cell_4    0.693147   0.693147   0.000000   1.386294   0.000000   1.098612   
...            ...        ...        ...        ...        ...        ...   
Cell_95   0.693147   0.000000   0.693147   0.693147   0.000000   0.693147   
Cell_96   0.000000   0.000000   0.693147   0.693147   0.000000   0.693147   
Cell_97   0.693147   0.000000   0.000000   1.098612   1.098612   0.693147   
Cell_98   0.693147   1.098612   0.000000   0.000000   0.000000   0.000000   
Cell_99   0.000000   0.693147   1.386294   0.693147   0.000000   1.098612   

         Gene_1928  Gene_1929  Gene_1930  Gene_1931  Gene_1932  Gene_1933  \
Cell_0    1.386294   1.098612   0.693147   0.693147   0.693147   0.693147   
Cell_1    0.000000   0.693147   0.693147   0.000000   0.693147   0.000000   
Cell_2    1.098612   0.693147   0.000000   0.000000   1.098612   0.693147   
Cell_3    0.693147   0.000000   0.693147   0.693147   1.098612   1.386294   
Cell_4    0.693147   0.000000   1.098612   0.693147   0.693147   0.693147   
...            ...        ...        ...        ...        ...        ...   
Cell_95   1.386294   0.000000   0.000000   0.693147   0.000000   0.000000   
Cell_96   0.000000   0.000000   1.098612   0.693147   0.000000   0.693147   
Cell_97   0.000000   1.386294   0.000000   0.693147   1.098612   0.000000   
Cell_98   0.693147   0.000000   0.693147   0.693147   0.000000   0.000000   
Cell_99   0.693147   0.000000   0.000000   0.693147   0.693147   1.098612   

         Gene_1934  Gene_1935  Gene_1936  Gene_1937  Gene_1938  Gene_1939  \
Cell_0    0.000000   1.386294   0.000000   0.000000   1.386294   0.000000   
Cell_1    0.000000   0.693147   0.693147   0.000000   0.000000   1.098612   
Cell_2    0.693147   1.098612   0.000000   0.693147   0.693147   0.000000   
Cell_3    1.098612   1.098612   0.000000   0.000000   0.693147   0.693147   
Cell_4    0.000000   0.000000   0.693147   0.000000   0.693147   1.098612   
...            ...        ...        ...        ...        ...        ...   
Cell_95   0.000000   0.000000   0.693147   0.693147   0.000000   1.098612   
Cell_96   1.386294   0.000000   1.098612   0.693147   0.000000   0.000000   
Cell_97   0.693147   1.386294   0.693147   1.098612   1.098612   0.000000   
Cell_98   0.000000   0.693147   1.386294   0.693147   0.693147   0.000000   
Cell_99   0.000000   1.098612   0.693147   0.000000   0.693147   1.098612   

         Gene_1940  Gene_1941  Gene_1942  Gene_1943  Gene_1944  Gene_1945  \
Cell_0    0.000000   0.693147   1.098612   0.000000   0.693147   0.000000   
Cell_1    0.693147   0.693147   1.098612   0.693147   0.000000   0.693147   
Cell_2    0.000000   0.000000   1.098612   0.693147   1.098612   0.000000   
Cell_3    0.693147   0.693147   0.693147   1.386294   0.693147   1.098612   
Cell_4    0.693147   0.000000   0.000000   0.000000   1.098612   0.693147   
...            ...        ...        ...        ...        ...        ...   
Cell_95   1.098612   1.098612   1.098612   0.000000   0.000000   0.693147   
Cell_96   0.000000   0.693147   0.693147   0.000000   0.000000   0.693147   
Cell_97   0.000000   0.000000   0.000000   0.693147   0.000000   1.098612   
Cell_98   0.693147   0.693147   0.693147   0.000000   0.693147   0.000000   
Cell_99   0.000000   0.000000   1.098612   0.000000   0.000000   0.693147   

         Gene_1946  Gene_1947  Gene_1948  Gene_1949  Gene_1950  Gene_1951  \
Cell_0    1.386294   1.098612   0.693147   0.693147   1.386294   0.000000   
Cell_1    0.000000   0.000000   0.000000   0.000000   0.693147   0.000000   
Cell_2    0.693147   0.693147   0.000000   0.000000   0.000000   0.693147   
Cell_3    0.000000   0.000000   1.098612   1.098612   1.098612   0.000000   
Cell_4    0.693147   0.693147   1.386294   1.098612   0.000000   0.000000   
...            ...        ...        ...        ...        ...        ...   
Cell_95   1.386294   0.000000   1.386294   0.000000   0.000000   1.098612   
Cell_96   0.693147   0.693147   0.693147   0.000000   0.000000   0.693147   
Cell_97   1.386294   0.693147   0.693147   0.000000   1.386294   0.693147   
Cell_98   0.693147   0.000000   0.000000   0.693147   0.000000   0.000000   
Cell_99   0.000000   0.000000   0.000000   0.693147   0.693147   0.693147   

         Gene_1952  Gene_1953  Gene_1954  Gene_1955  Gene_1956  Gene_1957  \
Cell_0    0.000000   1.386294   0.693147   1.098612   0.693147   0.693147   
Cell_1    0.000000   0.693147   0.000000   0.000000   0.693147   0.693147   
Cell_2    1.098612   0.693147   0.000000   0.693147   0.000000   0.693147   
Cell_3    0.000000   0.000000   0.000000   0.693147   1.386294   0.693147   
Cell_4    0.693147   1.386294   0.693147   0.693147   0.000000   0.000000   
...            ...        ...        ...        ...        ...        ...   
Cell_95   1.098612   0.000000   0.000000   1.098612   0.000000   0.000000   
Cell_96   1.386294   1.098612   0.693147   0.000000   0.000000   1.098612   
Cell_97   0.693147   1.098612   0.693147   0.000000   0.693147   0.000000   
Cell_98   0.000000   0.000000   0.000000   0.693147   0.000000   0.693147   
Cell_99   0.000000   0.000000   1.791759   0.000000   1.098612   0.693147   

         Gene_1958  Gene_1959  Gene_1960  Gene_1961  Gene_1962  Gene_1963  \
Cell_0    1.098612   1.386294   0.693147   0.000000   0.000000   0.000000   
Cell_1    0.693147   1.098612   0.000000   1.386294   0.693147   0.000000   
Cell_2    0.000000   0.693147   1.386294   0.000000   0.000000   0.000000   
Cell_3    0.000000   1.386294   1.098612   1.098612   1.098612   1.098612   
Cell_4    0.693147   1.098612   0.000000   0.693147   0.000000   1.386294   
...            ...        ...        ...        ...        ...        ...   
Cell_95   0.693147   0.693147   1.098612   1.098612   1.098612   0.000000   
Cell_96   0.693147   0.693147   0.000000   0.693147   1.098612   0.000000   
Cell_97   1.386294   0.693147   1.098612   0.000000   0.693147   0.000000   
Cell_98   1.098612   1.098612   0.000000   1.386294   0.000000   0.693147   
Cell_99   0.000000   0.693147   0.693147   0.693147   1.098612   0.000000   

         Gene_1964  Gene_1965  Gene_1966  Gene_1967  Gene_1968  Gene_1969  \
Cell_0    1.098612   0.693147   0.693147   1.386294   1.098612   0.693147   
Cell_1    0.000000   0.000000   0.000000   0.693147   0.693147   0.000000   
Cell_2    0.693147   0.000000   0.693147   0.000000   0.693147   0.000000   
Cell_3    1.386294   0.000000   1.386294   1.098612   0.693147   1.098612   
Cell_4    0.000000   1.098612   1.386294   0.693147   0.000000   0.693147   
...            ...        ...        ...        ...        ...        ...   
Cell_95   0.000000   0.693147   0.000000   0.000000   0.000000   0.693147   
Cell_96   1.098612   0.000000   0.693147   1.609438   0.693147   0.693147   
Cell_97   1.098612   0.000000   1.098612   0.693147   1.386294   0.693147   
Cell_98   0.693147   0.693147   0.693147   0.693147   0.693147   0.693147   
Cell_99   0.000000   0.000000   0.000000   0.693147   0.693147   0.693147   

         Gene_1970  Gene_1971  Gene_1972  Gene_1973  Gene_1974  Gene_1975  \
Cell_0    0.000000   0.693147   0.000000   0.000000   0.000000   0.000000   
Cell_1    1.098612   0.000000   0.000000   0.000000   0.693147   0.693147   
Cell_2    1.386294   1.098612   1.098612   0.693147   0.693147   0.000000   
Cell_3    0.000000   0.693147   1.098612   0.000000   1.386294   1.098612   
Cell_4    1.098612   1.098612   1.098612   0.693147   1.386294   1.098612   
...            ...        ...        ...        ...        ...        ...   
Cell_95   0.000000   0.693147   0.000000   1.098612   0.000000   1.098612   
Cell_96   0.000000   1.098612   0.693147   1.098612   0.000000   0.000000   
Cell_97   1.098612   0.000000   0.693147   0.000000   0.000000   0.000000   
Cell_98   0.693147   0.693147   0.000000   0.000000   1.098612   0.000000   
Cell_99   1.386294   0.000000   1.098612   1.098612   1.098612   1.386294   

         Gene_1976  Gene_1977  Gene_1978  Gene_1979  Gene_1980  Gene_1981  \
Cell_0    1.098612   0.000000   1.609438   1.098612   1.386294   0.000000   
Cell_1    0.000000   1.098612   0.000000   0.000000   0.000000   0.693147   
Cell_2    0.000000   0.000000   0.000000   0.000000   0.693147   0.693147   
Cell_3    1.098612   0.000000   0.000000   0.000000   0.693147   0.693147   
Cell_4    1.098612   0.693147   0.693147   1.609438   0.693147   0.693147   
...            ...        ...        ...        ...        ...        ...   
Cell_95   0.000000   0.000000   0.693147   0.693147   0.693147   0.693147   
Cell_96   0.000000   0.693147   1.098612   0.693147   0.000000   1.945910   
Cell_97   1.791759   1.098612   1.098612   0.693147   0.693147   0.693147   
Cell_98   0.000000   0.000000   1.098612   0.000000   0.000000   0.693147   
Cell_99   0.693147   1.609438   0.693147   0.693147   0.693147   0.693147   

         Gene_1982  Gene_1983  Gene_1984  Gene_1985  Gene_1986  Gene_1987  \
Cell_0    0.693147   1.386294   1.386294   0.693147   0.693147   1.386294   
Cell_1    0.693147   0.000000   0.000000   0.000000   1.098612   0.693147   
Cell_2    0.693147   1.098612   1.098612   0.693147   0.693147   0.000000   
Cell_3    1.098612   0.693147   0.693147   0.693147   1.386294   0.693147   
Cell_4    1.098612   0.000000   0.693147   1.098612   1.098612   1.098612   
...            ...        ...        ...        ...        ...        ...   
Cell_95   0.693147   0.000000   0.693147   0.000000   0.000000   0.693147   
Cell_96   1.098612   0.693147   0.000000   0.693147   1.098612   0.693147   
Cell_97   0.693147   0.693147   1.609438   0.000000   0.693147   0.693147   
Cell_98   0.000000   0.000000   0.693147   0.693147   0.000000   0.693147   
Cell_99   0.693147   0.693147   0.000000   0.693147   0.000000   0.000000   

         Gene_1988  Gene_1989  Gene_1990  Gene_1991  Gene_1992  Gene_1993  \
Cell_0    0.693147   0.000000   0.693147   0.000000   0.000000   0.000000   
Cell_1    0.693147   0.000000   1.098612   0.000000   1.098612   0.000000   
Cell_2    0.000000   0.693147   0.000000   0.000000   0.693147   0.000000   
Cell_3    0.000000   0.693147   1.609438   0.693147   0.000000   0.000000   
Cell_4    0.000000   0.000000   0.693147   0.000000   0.693147   0.693147   
...            ...        ...        ...        ...        ...        ...   
Cell_95   0.000000   1.098612   0.693147   0.000000   0.000000   1.098612   
Cell_96   1.098612   0.693147   0.000000   1.098612   1.098612   1.098612   
Cell_97   1.098612   0.000000   0.000000   0.000000   0.693147   0.693147   
Cell_98   0.000000   1.386294   0.693147   0.693147   0.693147   1.609438   
Cell_99   0.693147   0.000000   0.693147   1.386294   1.098612   0.693147   

         Gene_1994  Gene_1995  Gene_1996  Gene_1997  Gene_1998  Gene_1999  
